id,meanfreq,sd,median,mode,Q25,Q75,IQR,skew,kurt,Label
286,1.882194664,2.321907344,0.740772251,0.650488321,0.54022352,1.956645187,1.416421667,5.688039516,0.044409893,Female
287,1.40232284,2.248826392,0.460748318,0.184024664,0.174411435,1.218133408,1.043721973,6.933502046,0.064733609,Female
288,1.357475099,1.676326924,0.798541431,0.007814473,0.343348395,1.555568476,1.212220081,5.992356244,0.052415424,Female
289,1.579268548,2.064803035,0.636425203,0.203549401,0.390210424,2.05593784,1.665727416,9.320798593,0.119288049,Female
290,1.530037715,2.131429375,0.584378331,0,0.205639706,1.9547071,1.749067394,6.393372869,0.058373184,Female
291,1.199635431,1.967643828,0.536022099,0.169445003,0.224819186,1.043249623,0.818430437,8.14940955,0.09585761,Female
292,1.054471873,1.637066683,0.489557598,0.229847745,0.292286699,0.799942545,0.507655846,5.914715008,0.041602926,Male
293,1.092239875,1.688892523,0.416713637,0.116241172,0.160836842,1.081993303,0.92115646,9.449407105,0.138766518,Male
294,4.199045001,3.803781847,4.196948783,0.106983291,0.322094079,8.019169996,7.697075917,7.193560686,0.070704113,Male
295,2.26408351,2.528842065,1.063310314,0.02450985,0.403108814,3.305700873,2.902592058,6.123714139,0.052144426,Female
296,2.176833341,2.698637066,0.594375,0.298125,0.298125,3.605625,3.3075,9.287308485,0.13716656,Male
297,1.588666903,2.184821117,0.610367915,0,0.181421029,2.077895105,1.896474076,8.107479064,0.101469064,Male
298,2.005655659,2.501078437,0.759289859,0.212072717,0.395637298,2.886274912,2.490637614,7.470505232,0.076042669,Female
299,1.751448195,2.45093209,0.512814197,0.126814151,0.241502646,2.172513347,1.9310107,8.520597491,0.104383175,Male
300,1.37958575,1.757843299,0.790911697,0.214936927,0.381407683,1.527737959,1.146330275,5.97267983,0.059151564,Male
301,1.340841064,1.991157997,0.550852863,0.445728271,0.274725601,1.400259567,1.125533966,8.717713685,0.110339478,Female
302,1.781384412,2.336975426,0.789168487,0,0.205557548,2.271914013,2.066356465,20.52102846,0.765241699,Female
303,1.910672428,2.501551825,0.646367455,0.214149035,0.347930927,2.380631612,2.032700685,9.918433588,0.133325664,Female
304,1.527142605,2.197957709,0.565159196,0.192154127,0.333443925,1.691709859,1.358265934,6.95718104,0.064519502,Female
305,1.826925163,2.09588577,0.847631855,0.0906455,0.324491603,2.738651273,2.414159669,6.248987427,0.060143823,Male
306,1.895996194,2.361678877,0.809375778,0.229793704,0.407040726,2.57478748,2.167746754,7.459415876,0.083535105,Female
307,2.142203474,2.147297009,1.401535761,0.205254498,0.441608161,3.41745283,2.975844669,9.804455238,0.141048964,Female
308,1.847805664,2.469294945,0.791287676,0.196790829,0.394170853,2.186499305,1.792328452,6.989700246,0.065983809,Female
309,2.089711523,2.38032944,0.964319587,0,0.373334973,3.288755796,2.915420823,5.377493031,0.03904801,Male
310,2.292586005,2.630803352,1.105142829,0,0.461173592,3.478843388,3.017669796,7.772204372,0.09228951,Female
311,2.141112477,2.305325214,0.918132477,0.767703992,0.500193238,3.814807098,3.314613859,4.594740116,0.029657129,Female
312,1.887661607,2.114702153,0.744795657,0.221972839,0.389499509,3.213719966,2.824220456,10.663607,0.155748522,Female
313,1.890320033,2.231131475,0.736569779,0.186901822,0.362030301,2.896978242,2.534947941,9.113387443,0.110927692,Female
314,1.662228932,2.117286779,0.892795879,0.219024304,0.429116766,1.712195315,1.283078549,7.181241069,0.088045784,Female
315,1.758261522,2.162074865,0.943955152,0,0.300176214,2.370934973,2.070758759,6.358165981,0.062450513,Female
316,1.704438321,1.887469469,1.016281771,0.234592785,0.497594971,2.174610549,1.677015578,6.195534764,0.061176535,Female
317,1.915586345,1.787683961,1.217636271,0.244875191,0.685201223,2.805955171,2.120753948,5.493073444,0.04719701,Female
318,2.127663763,2.803605328,0.679726356,0.496948966,0.409597523,2.967012883,2.55741536,6.36803434,0.056127779,Female
319,1.447812231,2.465706396,0.326534733,0.185827948,0.141894184,1.186211632,1.044317447,9.033214492,0.112436412,Female
320,1.871711923,2.679425304,0.456864345,0.150189657,0.278795171,2.716004568,2.437209397,9.601190791,0.116238776,Male
321,2.01198917,2.445225156,0.725908972,0.601490976,0.452354172,3.01239864,2.560044468,5.418666222,0.040131359,Female
322,1.104001396,1.79751137,0.462763562,0.138901038,0.188559958,1.011890463,0.823330505,6.509120805,0.059382667,Male
323,2.073985636,2.492120712,0.966686553,0,0.416066102,2.922986517,2.506920415,8.73672177,0.108050598,Female
324,1.029845235,1.54035044,0.505564498,0.236123247,0.243366291,1.06255461,0.819188319,11.76187263,0.213206836,Female
325,1.794380503,2.118578161,0.905609843,0.261823754,0.383921116,2.389713067,2.005791952,7.715239853,0.10641757,Female
326,1.271545828,1.731594702,0.705719823,0.51188916,0.388542374,1.233467855,0.84492548,7.166456403,0.088330349,Male
327,1.061852785,1.403267945,0.7549918,0.642771715,0.416461208,1.092275503,0.675814295,5.871946733,0.050651295,Male
328,0.873415117,1.222838264,0.526351822,0.230445912,0.237793463,0.989915483,0.75212202,8.135060102,0.10938338,Male
329,1.506338875,2.264502175,0.591415174,0.010211485,0.198273001,1.540232325,1.341959324,5.874159486,0.049344807,Female
330,2.492764537,2.987040318,0.889139363,0.133206857,0.293317561,4.132037318,3.838719757,7.582968073,0.082916995,Male
331,1.122593386,1.699944605,0.514614359,0.26139142,0.260574572,1.009624361,0.749049789,5.738001317,0.046207546,Male
332,1.31925106,2.072728181,0.426477607,0,0.21766974,1.37802115,1.16035141,8.906927884,0.126866131,Male
333,2.020591593,2.21419708,1.151083669,0,0.471944304,2.888029234,2.416084929,5.52682151,0.042763627,Female
334,2.164823453,2.876915345,0.600872445,0.166249293,0.359217223,3.025143388,2.665926165,6.406085023,0.053541777,Female
335,2.085647013,2.395463903,0.967397131,0.200630616,0.390335803,3.176320353,2.78598455,9.204087503,0.125149456,Female
336,1.684850515,1.907635133,1.013640603,0.374808207,0.392719396,2.42796113,2.035241734,4.480531525,0.026681541,Female
337,1.271559044,1.680750458,0.710616455,0.470742882,0.423560543,1.303096977,0.879536434,8.486978628,0.10913247,Female
338,1.771845514,2.462451043,0.611148771,0.484673699,0.30955437,2.237635875,1.928081505,6.547204157,0.060859161,Male
339,1.50155285,1.906074962,0.595323244,0.189522381,0.370869287,2.078057166,1.707187879,11.08637731,0.169712805,Female
